sheet_name,seed,lookback,train_ratio,mae,rmse,mape,directional_accuracy,roi_proxy
jeoboden,11,7,0.7,0.0009984544118381434,0.0014443192148390334,32.30419494685681,0.52,0.18152406766453222
jesuscoin,11,7,0.7,4.6399992291808445e-08,4.715929689011363e-08,76.10474954394279,0.2,-0.028904761904761905
k9financedao,11,7,0.7,2.9711950940126e-06,2.980304006121527e-06,89.34075061072538,0.4,-0.02623173040931513
katanainu,11,7,0.7,0.0002628297227849732,0.0002711068025512567,75.573919298499,0.36,-0.05257012602927
kekistan,11,7,0.7,7.688360359627068e-06,8.005900483607523e-06,116.56098947865034,0.2,-0.09929565688499478
kiboshib,11,7,0.7,1.557697090016412e-05,1.5882835380260316e-05,172.44410923620944,0.24,-0.06409633942948567
kimbo,11,7,0.7,7.053941144691676e-05,7.100945017108494e-05,116.53755310169693,0.28,-0.05065109283480596
kittenhaimer,11,7,0.7,0.054305473818959706,0.060161268400062945,46.45117082389564,0.28,-0.05201244298952082
koalaai,11,7,0.7,7.27998719717915e-07,7.712208527496414e-07,57.5722250601744,0.4,-0.0061174341251722855
komainu,11,7,0.7,0.0361706024172733,0.04212381400703798,79.90483216006145,0.28,-0.10698066228806939
leash,11,7,0.7,56.89094123095879,61.003659016617085,25.876577775262778,0.36,-0.03343270248497345
lethimcook,11,7,0.7,0.0007685375885733914,0.000862161887447284,45.665761065220714,0.56,0.07402836475719819
lilyscoin,11,7,0.7,0.045068895673661895,0.04616421066282445,163.65804906736992,0.2,-0.14321866434167296
literallyme,11,7,0.7,8.423166552146994e-05,9.407066269623075e-05,57.45658516512654,0.56,0.10340236971565199
littlemanyu,11,7,0.7,0.0010778689528763334,0.0011158892766471502,136.38267159284405,0.36,0.04814373394815654
lmeow2,11,7,0.7,0.02579989465216359,0.02638964931622061,147.83773506280372,0.2,-0.07543515762401798
loafcat,11,7,0.7,5.785326952003864e-05,5.8345432710214324e-05,200.77939574144762,0.4,-0.052216565208503624
lovelyinufinance,11,7,0.7,0.0005700030184288617,0.0005783095474405692,37.66356334574806,0.56,0.004222933170689534
luci,11,7,0.7,0.0011408708145934636,0.0011544198875833953,189.39009102768415,0.32,0.0765285465625557
mad2,11,7,0.7,1.996639505131234e-05,2.047454638121064e-05,142.44730445073455,0.36,-0.05987172375339609
magahat,11,7,0.7,3.2957606630227e-05,3.65489955266125e-05,100.27634044127531,0.32,-0.03197393725770217
majorfrog,11,7,0.7,0.010091436222516913,0.011205384932075723,22.421049643693863,0.72,0.06534301651631051
mars2,11,7,0.7,3.491146424057064e-06,3.634197360194454e-06,64.20817953027209,0.28,-0.04222323188047436
mellowman,11,7,0.7,0.012349971558323247,0.01285227298642519,72.2881341765216,0.4,-0.03229806818893169
memesai,11,7,0.7,0.033524048217977005,0.03441964058700332,316.45966004593356,0.16,-0.16084220930248694
metamonopoly,11,7,0.7,0.0008945501153226104,0.0010283214984277951,27.191921418381586,0.56,0.008666299563926805
miladywifhat,11,7,0.7,1.5022390917243348e-07,1.8461866920791947e-07,8.349234206169347,0.68,0.05783749877125952
mongcoin,11,7,0.7,7.999999890337397e-10,7.999999890337396e-10,7.9999998903373974,0.0,0.0
monkeyhaircut,11,7,0.7,0.001377556167252858,0.0014073715006501062,166.60807003703113,0.24,-0.09815428934800279
moodeng2,11,7,0.7,4.585808917241543e-05,4.924297715663527e-05,51.82060687730197,0.32,-0.04826271448792668
nailong,11,7,0.7,0.010652444583182596,0.010962126070225365,366.5615852018945,0.32,-0.09712981229747973
nasdaq420,11,7,0.7,0.0016359946323542256,0.002064130699646968,27.449203715423625,0.52,-0.008695243907438826
neiro,11,7,0.7,0.0018418549737938656,0.0019262056375080319,70.97154903351434,0.24,-0.061271303700220534
neiro2,11,7,0.7,0.000904034914518312,0.0011723191418199588,33.661950020544474,0.56,0.1679600873017716
newbornhaggispygmyhippo,11,7,0.7,0.0008671756248114827,0.0008681320158457916,366.3734244761911,0.32,-0.020728013256611676
nomnom,11,7,0.7,0.007095252144486308,0.007218223481065682,208.99766361175475,0.24,-0.10305069368796133
npconsolana,11,7,0.7,0.0053871122935249816,0.00574993689369152,53.54191092265943,0.32,0.05285185670459781
numogram,11,7,0.7,0.00988052453629174,0.01101752469129176,86.8851182421273,0.52,-0.011727052254809698
